subject,predicate,object,category
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Lía_Bermúdez,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Oopik_Pitsuilak,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Parys_Filippi,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Shane_Wilson,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Teresa_Margolles,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Vladimir_Izdebskiy,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Cornélie_Caroline_van_Asch_van_Wijck,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bashka_Paeff,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bela_Pratt,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Belle_Kinney_Scholz,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Ben_Enwonwu,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Benjamin_Paul_Akers,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Benjamin_Victor_(sculptor),sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Benjamin_Waterhouse_Hawkins,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Benvenuto_Cellini,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bert_van_Loo,sculptor
