Subject,Predicate,Object
Martin_Campbell-Kelly,wikiPageWikiLink,Robert_Sedgewick_(computer_scientist)
Jeff_Bonwick,wikiPageWikiLink,Roger_Hui
Manasie_Akpaliapik,wikiPageWikiLink,Inuit
Dines_Bjørner,wikiPageWikiLink,Ruby_(programming_language)
Shakuntala_Atre,wikiPageWikiLink,Brendan_Eich
Walter_Allward,wikiPageWikiLink,Premier_of_Ontario
Lambert-Sigisbert_Adam,wikiPageWikiLink,Cupid
Bryan_Cantrill,wikiPageWikiLink,Morris_worm
Aleijadinho,wikiPageWikiLink,Denis_Diderot
Frances_E._Allen,wikiPageWikiLink,Voice_actress
Bert_Bos,wikiPageWikiLink,Robin_Milner
Johannes_Josephus_Aarts,wikiPageWikiLink,Rijksakademie_van_beeldende_kunsten
Walter_Allward,wikiPageWikiLink,Haliburton_County
Evelin_Winifred_Aston,wikiPageWikiLink,Judy_Chicago
Diana_al-Hadid,wikiPageWikiLink,"Kensington,_Brooklyn"
Jean_Bartik,wikiPageWikiLink,C_(programming_language)
Alashua_Aningmiuq,wikiPageWikiLink,Peter_Blake_(artist)
Rudolf_Bayer,wikiPageWikiLink,Belal_Muhammad_(fighter)
Ahmed_Al_Safi,wikiPageWikiLink,Grand_Ayatollah
Eric_Adjetey_Anang,wikiPageWikiLink,Confederation_of_African_Football
Kiugak_Ashoona,wikiPageWikiLink,Nahanni_Fontaine
Magdalena_Abakanowicz,wikiPageWikiLink,LOT_Polish_Airlines_Flight_5055
Julio_Abril,wikiPageWikiLink,Pedro_Lira
Leon_Battista_Alberti,wikiPageWikiLink,Doge
Andrew_Appel,wikiPageWikiLink,Ken_Thompson_(computer_programmer)
Roland_Carl_Backhouse,wikiPageWikiLink,Bauer–Fike_theorem
Fred_Brooks,name,Sam_Sifton
Peter_Chen,wikiPageWikiLink,Data_modeling
Agostino_di_Duccio,wikiPageWikiLink,Agostino_di_Duccio
Shakuntala_Atre,wikiPageWikiLink,Entity-relationship_model
Cecilia_R._Aragon,wikiPageWikiLink,Meta-learning
Julio_Abril,wikiPageWikiLink,Patricia_van_Dalen
George_Gammon_Adams,wikiPageWikiLink,John_Philip_Kemble
Edmund_M._Clarke,wikiPageWikiLink,Programmer
Cecilia_Berdichevsky,wikiPageWikiLink,Robert_Sproull
Kiugak_Ashoona,wikiPageWikiLink,Richard_Nerysoo
